fecha,tasa_fed,tasa_cete,diferencial,tc,remesas,oferta_monetaria,exportaciones,importaciones,reservas,deuda
01/01/2000,5.45,16.19,10.74,9.4878,456.2456,1595797563,11252743,11858647,31529.5,1029.4
01/02/2000,5.73,15.81,10.08,9.4252,447.187,1613711544,13189566,13439078,31910,1017.4
01/03/2000,5.85,13.66,7.81,9.2876,494.4502,1640365391,13575435,13921248,34010,996.5
01/04/2000,6.02,12.93,6.91,9.3903,498.8308,1657594441,12327403,12717859,33746,1002.2
01/05/2000,6.27,14.18,7.91,9.5158,590.7496,1686411535,14654687,15192823,32736.1,1023.9
01/06/2000,6.53,15.65,9.12,9.8295,541.5775,1709548296,14045054,14567332,31904.4,1069.6
01/07/2000,6.54,13.73,7.19,9.4212,557.598,1739903063,13411361,13993007,32371.5,998.9
01/08/2000,6.5,15.23,8.73,9.2709,608.0612,1739851153,15261802,16102786,30468.9,993.8
01/09/2000,6.52,15.06,8.54,9.354,568.5493,1777590986,14110043,14781597,31869.9,1030.6
01/10/2000,6.51,15.88,9.37,9.5314,559.5235,1796380363,16131582,16841327,32639.9,1077.6
01/11/2000,6.51,17.56,11.05,9.5004,583.1218,1820311829,14525529,15966404,32164.1,1097.2
01/12/2000,6.4,17.05,10.65,9.4659,666.8485,1817196847,13635532,15075715,33554.9,1183.7
01/01/2001,5.98,17.89,11.91,9.7766,654.982,1776421088,12853053,13799523,35816.6,1114.49
01/02/2001,5.49,17.34,11.85,9.7045,637.6737,1793737881,12566162,13130126,37301.4,1115.78
01/03/2001,5.31,15.8,10.49,9.6006,718.055,1813184631,14311048,14932923,38035.5,1130.23
01/04/2001,4.8,14.96,10.16,9.3268,734.8058,1831650212,13273001,14112743,38579.4,1105.87
01/05/2001,4.21,11.95,7.74,9.1372,798.2438,1844982118,14051740,14660233,38880.9,1085.05
01/06/2001,3.97,9.43,5.46,9.0867,747.837,1874069919,13423356,13749346,38730.4,1101.23
01/07/2001,3.77,9.39,5.62,9.1618,796.5951,1902154339,12947584,13503005,38890.1,1111.55
01/08/2001,3.65,7.51,3.86,9.1307,789.3075,1941486165,13502467,14163415,39021.1,1130.49
01/09/2001,3.07,9.32,6.25,9.4189,772.0803,1963392600,12679097,13132205,39414.6,1146.5
01/10/2001,2.49,8.36,5.87,9.345,792.8295,2005006311,14484934,15561174,40517.8,1152.79
01/11/2001,2.09,7.43,5.34,9.2236,693.8224,2027455185,12511301,14188774,40069.6,1141.84
01/12/2001,1.82,6.29,4.47,9.1561,759.0318,2051445324,12175990,13462967,40879.9,1187.08
01/01/2002,1.73,6.97,5.24,9.1616,711.043,2025027905,11579633,12159290,41709.6,1205.43
01/02/2002,1.74,7.91,6.17,9.0998,718.865,2015289239,11977242,12545422,42128.6,1232.54
01/03/2002,1.73,7.23,5.5,9.0707,744.527,2040686720,13120312,13416805,42228.7,1232.31
01/04/2002,1.75,5.76,4.01,9.1629,805.872,2018450025,14445063,15014090,41378.8,1264.81
01/05/2002,1.75,6.61,4.86,9.5192,912.205,2058004444,13911295,14444728,41594.1,1282.71
01/06/2002,1.75,7.3,5.55,9.7652,860.003,2067318859,13124146,13518791,42722.9,1295.06
01/07/2002,1.73,7.38,5.65,9.7808,843.0738,2076970785,14066592,14560945,43739.9,1312.58
01/08/2002,1.74,6.68,4.94,9.8396,849.1376,2063013368,13726998,14300544,44273.2,1309.6
01/09/2002,1.75,7.34,5.59,10.0714,860.5997,2047672467,13573619,14063594,45107.6,1352.27
01/10/2002,1.75,7.66,5.91,10.095,848.283,2055627847,14856076,15676501,45234,1317.37
01/11/2002,1.34,7.3,5.96,10.1975,741.438,2151458055,13230385,14397931,45238.5,1345.95
01/12/2002,1.24,6.88,5.64,10.2249,919.401,2176465317,13434619,14580248,47984,1436.49
01/01/2003,1.24,8.27,7.03,10.6203,1051.2547,2199341968,12613632,12622254,49440.1,1438.56
01/02/2003,1.26,9.04,7.78,10.9372,979.7597,2193188057,12867156,12581877,50315.3,1419.94
01/03/2003,1.25,9.17,7.92,10.9124,1139.1124,2165133600,13570706,13985278,51988.4,1405.25
01/04/2003,1.26,7.86,6.6,10.5917,1202.5097,2160440657,13563240,14369374,53731.5,1325.54
01/05/2003,1.26,5.25,3.99,10.2512,1350.9669,2186149137,13153418,13674733,53571.4,1362.72
01/06/2003,1.22,5.2,3.98,10.5047,1351.1707,2148802351,13527896,13847023,53397.1,1375.64
01/07/2003,1.01,4.57,3.56,10.4502,1361.362,2191210125,13740277,14424284,51755.6,1429.7
01/08/2003,1.03,4.45,3.42,10.7811,1401.2462,2178263151,13427713,13816848,51486.9,1456
01/09/2003,1.01,4.73,3.72,10.9269,1365.5085,2195512337,14375051,14730983,52117.5,1435.77
01/10/2003,1.01,5.11,4.1,11.1748,1391.0112,2196196189,15128019,15735472,53645.6,1451.6
01/11/2003,1,4.99,3.99,11.145,1203.7084,2187834956,13760615,14692799,55395.9,1505.46
01/12/2003,0.98,6.06,5.08,11.2486,1341.0761,2331594975,15038713,16064919,57434.9,1585.25
01/01/2004,1,4.95,3.95,10.9151,1081.8635,2339289329,12710912,12872078,58742.5,1602.74
01/02/2004,1.01,5.57,4.56,11.0142,1171.7737,2285732239,13864283,14075671,59151.3,1605.38
01/03/2004,1,6.28,5.28,11.0094,1480.224,2312217167,16617819,16769149,59049.3,1606.87
01/04/2004,1,5.98,4.98,11.2751,1513.5151,2306755673,14725798,15424410,58393.7,1612.52
01/05/2004,1,6.59,5.59,11.5124,1770.3978,2291715363,16154748,16061986,58787.8,1567.37
01/06/2004,1.03,6.57,5.54,11.3894,1684.7248,2336357856,16507297,17020965,59128,1622.23
01/07/2004,1.26,6.81,5.55,11.4636,1654.376,2300126954,15016997,15848001,57827.2,1621.08
01/08/2004,1.43,7.21,5.78,11.3942,1786.8078,2300666021,16927796,17600618,58247.8,1594.88
01/09/2004,1.61,7.36,5.75,11.4864,1586.8407,2340295312,15929465,16373251,57614.9,1582.35
01/10/2004,1.76,7.76,6,11.3983,1529.9477,2379130414,16913202,17523926,58137.3,1632.86
01/11/2004,1.93,8.2,6.27,11.3681,1506.1644,2432524755,17075574,19427122,60399.4,1595.34
01/12/2004,2.16,8.5,6.34,11.2041,1565.1123,2493275018,15554664,17812475,61496.3,1624.93
01/01/2005,2.28,8.6,6.32,11.2607,1367.5563,2467608912,14125238,15271701,61761.6,1618.61
