Fecha,tc_real,Indice_comercial
01/01/2008,82.6731,66
01/02/2008,81.6249,59.6
01/03/2008,81.4003,62.5
01/04/2008,80.1469,61.1
01/05/2008,80.3305,65.2
01/06/2008,79.8497,63.3
01/07/2008,79.117,67.7
01/08/2008,77.213,66
01/09/2008,80.2562,59.3
01/10/2008,93.0817,61.8
01/11/2008,94.5216,63.6
01/12/2008,95.1178,79.9
01/01/2009,98.7076,63.4
01/02/2009,103.7599,56.2
01/03/2009,104.9936,63.1
01/04/2009,95.9909,59.8
01/05/2009,94.6003,61.2
01/06/2009,96.1545,61.1
01/07/2009,95.8703,62.9
01/08/2009,93.2707,62.6
01/09/2009,95.7002,59.5
01/10/2009,94.5331,60.6
01/11/2009,93.1744,64
01/12/2009,90.6511,80.2
01/01/2010,89.6789,63.2
01/02/2010,90.2675,58.5
01/03/2010,87.5788,64.4
01/04/2010,85.4174,59.9
01/05/2010,89.1217,63.7
01/06/2010,89.3491,63.9
01/07/2010,89.9505,65.3
01/08/2010,89.069,66
01/09/2010,89.5958,60.6
01/10/2010,86.3323,64
01/11/2010,84.7987,65.7
01/12/2010,85.0467,86.7
01/01/2011,83.3001,68.7
01/02/2011,82.8822,59.5
01/03/2011,83.1477,65
01/04/2011,81.8865,62.7
01/05/2011,82.1039,65.8
01/06/2011,83.0347,64.2
01/07/2011,81.8979,65.6
01/08/2011,85.468,67.1
01/09/2011,90.7091,63.3
01/10/2011,93.7523,66.6
01/11/2011,93.7362,72.2
01/12/2011,93.5307,89.6
01/01/2012,91.607,70.5
01/02/2012,87.0416,65.9
01/03/2012,87.3423,70.1
01/04/2012,89.9147,65.8
01/05/2012,93.5755,68.6
01/06/2012,95.9354,69.2
01/07/2012,91.2075,69.6
01/08/2012,90.0037,71.7
01/09/2012,88.6979,66.3
01/10/2012,87.4408,70.5
01/11/2012,87.8788,74.9
01/12/2012,85.9699,88.3
01/01/2013,84.91,74.3
01/02/2013,85.1359,64.8
01/03/2013,83.8041,68.6
01/04/2013,81.336,67.6
01/05/2013,81.9351,70.6
01/06/2013,86.7689,69.8
01/07/2013,85.8186,72.9
01/08/2013,86.2497,73
01/09/2013,87.5105,68.5
01/10/2013,86.3824,71.4
01/11/2013,85.7029,78.4
01/12/2013,84.857,88.4
01/01/2014,85.6401,75.1
01/02/2014,86.3287,66
01/03/2014,86.1688,70.9
01/04/2014,85.6489,70.2
01/05/2014,85.4306,74.4
01/06/2014,85.6747,73.5
01/07/2014,85.3419,77.3
01/08/2014,86.0433,77.1
01/09/2014,86.0634,72
01/10/2014,87.164,77.8
01/11/2014,86.6704,84.6
01/12/2014,91.0925,98.4
01/01/2015,92.3128,83
01/02/2015,94.0576,73.6
01/03/2015,96.0252,78.6
01/04/2015,96.6133,75.8
01/05/2015,97.8025,81.3
01/06/2015,99.2703,81.3
01/07/2015,101.9016,85
01/08/2015,105.3772,84.7
01/09/2015,107.0401,79.2
01/10/2015,104.9576,87.5
01/11/2015,104.3729,90.7
01/12/2015,105.8805,107.6
01/01/2016,111.7182,87.3
01/02/2016,114.4539,79.3
01/03/2016,110.1494,83.9
01/04/2016,109.4838,82.5
01/05/2016,113.8791,89.5
01/06/2016,117.9646,88.6
01/07/2016,116.9815,89.6
01/08/2016,116.1691,90.4
01/09/2016,119.8923,85.5
01/10/2016,118.1296,92.8
01/11/2016,123.1733,100.6
01/12/2016,126.1616,115.9
01/01/2017,130.0033,100.5
01/02/2017,123.6449,83.5
01/03/2017,117.11,92.2
01/04/2017,113.3942,88.2
01/05/2017,113.7951,98
01/06/2017,110.0077,92
01/07/2017,107.4778,94.8
01/08/2017,107.0084,93.6
01/09/2017,107.1869,88.1
01/10/2017,111.985,95.5
01/11/2017,112.3387,103
01/12/2017,112.1154,117.7
01/01/2018,111.7774,98.3
01/02/2018,109.6548,89.8
01/03/2018,109.8762,96.5
01/04/2018,108.6885,94.7
01/05/2018,116.1287,99.6
01/06/2018,120.7477,98.4
01/07/2018,113.0544,100
01/08/2018,110.648,99.7
01/09/2018,111.7468,94.4
01/10/2018,111.4252,101.3
01/11/2018,116.9664,108.6
01/12/2018,115.3674,118.6
01/01/2019,109.9817,99.6
01/02/2019,110.3328,92.3
01/03/2019,110.7814,99.2
01/04/2019,110.0886,96.7
01/05/2019,111.0208,102.4
01/06/2019,112.1516,100.1
