Fecha,Remesas trimestrales
01/01/2008,537.571
01/04/2008,674.9709
01/07/2008,623.0018
01/10/2008,578.2107
01/01/2009,520.4122
01/04/2009,549.4618
01/07/2009,515.4147
01/10/2009,434.2584
01/01/2010,447.9897
01/04/2010,573.2479
01/07/2010,542.8156
01/10/2010,481.184
01/01/2011,487.6146
01/04/2011,600.6107
01/07/2011,606.9855
01/10/2011,530.9754
01/01/2012,517.236
01/04/2012,654.2814
01/07/2012,536.0315
01/10/2012,511.5245
01/01/2013,470.7241
01/04/2013,587.4354
01/07/2013,526.79
01/10/2013,495.32
01/01/2014,508.3573
01/04/2014,584.439
01/07/2014,558.1788
01/10/2014,511.0242
01/01/2015,521.2861
01/04/2015,549.6364
01/07/2015,623.3593
01/10/2015,563.482
01/01/2016,557.3944
01/04/2016,640.0218
01/07/2016,639.0059
01/10/2016,623.1983
01/01/2017,618.6441
01/04/2017,722.1986
01/07/2017,722.2228
01/10/2017,743.1598
01/01/2018,645.4894
01/04/2018,847.3377
01/07/2018,788.7582
01/10/2018,827.0617
01/01/2019,705.087
01/04/2019,877.6326
01/07/2019,928.7134
01/10/2019,876.7779
01/01/2020,839.5257
01/04/2020,937.0533
01/07/2020,870.9757
01/10/2020,904.9955
01/01/2021,883.9296
01/04/2021,1129.6304
01/07/2021,1152.1645
01/10/2021,1214.5986
01/01/2022,1048.7546
01/04/2022,1321.9024
01/07/2022,1351.716
01/10/2022,1331.5198
01/01/2023,1173.0612
01/04/2023,1411.2599
01/07/2023,1438.283
01/10/2023,1391.8657
01/01/2024,1175.8475
01/04/2024,1492.3615
01/07/2024,1520.1924
01/10/2024,1456.8817
01/01/2025,1216.9694
01/04/2025,1385.6906
01/07/2025,1459.9814
01/10/2025,1451.0286
,
